Txs,unsign,signed,
1000,0.027,0.518,
2000,0.085,0.999,
3000,0.125,1.478,
4000,0.159,1.993,
5000,0.212,2.697,
6000,0.210,3.015,
7000,0.241,3.493,
8000,0.274,4.067,
9000,0.316,4.486,
9999,0.423,4.926,

